ID,Full Name,Korean Name,Birth Year,Group,Country,Gender
1,Kim Younghoon,김영훈,1997,7 O'clock,South Korea,M
2,Cho Minwoo,조민우,2004,EPEX,South Korea,M
3,Seong Hyunwoo,성현우,1996,Limitless,South Korea,M
4,Jang Wooyoung,장우영,1992,VAV,South Korea,M
5,Kwon Aeji,권애지,1999,Hashtag,South Korea,F
6,Lee Ahin,이아인,1999,MOMOLAND,South Korea,F
7,Go Ahra,고아라,2001,Favorite,South Korea,F
8,Choi Subin,최수빈,2004,BOTOPASS,South Korea,F
9,Cho Jayoung,조자영,1991,Dal Shabet,South Korea,F
10,Kang Ahyoung,강아형,1996,P.O.P,South Korea,F
11,Lee Yejin,이예진,1989,,South Korea,F
12,Kim Heejung,김희정,1991,,South Korea,F
13,Heo Yoorim,허유림,2000,Everglow,South Korea,F
14,Jang Minju,장민주,2001,MAJORS,South Korea,F
15,Alexander Schmidt Lee,알렉산더 슈미트 리,2004,DRIPPIN,Germany,M
16,Kim Seri,김세리,1996,,USA,F
17,Song Joohee,송주희,1990,Hello Venus,South Korea,F
18,Cheon Jaeyoung,천재영,2002,TRACER,South Korea,F
19,Allen Ma,앨런 마,1999,CRAVITY,USA,M
20,Amber Josephine Liu,엠버 조세핀 리우,1992,f(x),USA,F
21,Lee Sunho,이선호,1981,Shinhwa,South Korea,M
22,Lui Chunyeung,루이쯔양,1994,7 O'clock,Hong Kong,M
23,Lee Seoyoung,이서영,2000,GWSN,South Korea,F
24,Anthony Lo,엔써니 루오,1998,VARSITY,China,M
25,Lee Yunji,이윤지,2002,ILY:1,South Korea,F
26,Son Mnjung,손민정,2000,,South Korea,F
27,Park Yerim,박예림,2001,Pink Fantasy,South Korea,F
28,Kim Daun,김다운,1998,AREAL,South Korea,F
29,Kim Sunyoung,김선영,1994,Tahiti,South Korea,F
30,Hwang Nayoon,황나윤,1999,RedSquare,South Korea,F
31,Jeon Minjae,전민재,2000,MIXX,South Korea,F
32,Choi Yewon,최예원,1999,Oh My Girl,South Korea,F
33,Kwak Youngmin,곽영민,1993,NU'EST,South Korea,M
34,Jang Yunho,장윤호,2000,Kingdom,South Korea,M
35,Hanada Asahi,하나다 아사히,2001,Treasure,Japan,M
36,Ashley Choi,애슐리 최,1991,Ladies' Code,South Korea,F
37,Yang Lan,양안,1997,NATURE,China,F
38,Suzuki Ayami,스즈키 아야미,2000,Bling Bling,Japan,F
39,Kwon Yejun,권예준,2005,EPEX,South Korea,M
40,Son Minji,손민지,2002,Saturday,South Korea,F
41,Noh Yoonho,노윤호,1996,VAV,South Korea,M
42,Lee Minhyuk,이민혁,1990,Block B,South Korea,M
43,Kim Byungjoo,김병주,1994,Topp Dogg,South Korea,M
44,Kim Hanbin,김한빈,1996,,South Korea,M
45,Lee Youngsoo,이영수,1995,14U,South Korea,M
46,Lee Soojung,이수정,1992,Lovelyz,South Korea,F
47,Kim Bada,김바다,2002,Hinapia,South Korea,F
48,Bae Jinsol,배진솔,2004,NMIXX,South Korea,F
49,Kim Hyunwoo,김현우,2004,EPEX,South Korea,M
50,Kim Sua,김수아,1999,XUM,South Korea,F
51,Baek Sunwoo,백결,1999,E'LAST,South Korea,M
52,Kang Dongho,강동호,1995,NU'EST,South Korea,M
53,Byun Baekhyun,변백현,1992,EXO,South Korea,M
54,Huening Bahiyyih,휴닝바히에,2004,Kep1er,USA,F
55,Song Byeonghee,송병희,2001,JUST B,South Korea,M
56,Kunpimook Bhuwakul,꾼삐묵 부와꾼,1997,GOT7,Thailand,M
57,Bang Chan,방찬,1997,Stray Kids,Australia,M
58,Cha Sunwoo,차선우,1992,,South Korea,M
59,Choi Chunghyeop,최충협,1992,VAV,South Korea,M
60,Jin Sungho,진성호,1994,1TEAM,South Korea,M
61,Rebecca Kim,김레베카,1989,,South Korea,F
62,Choi Sunghoon,최성훈,2000,DUSTIN,South Korea,M
63,Jin Hyeonjoo,진현주,2001,Cignature,South Korea,F
64,Baek Jaewook,배제욱,1992,B.I.G,USA,M
65,Choi Beomgyu,최범규,2001,TXT,South Korea,M
66,Kim Susanna,김수산나,2004,Lapillus,South Korea,F
67,Yu Jiwon,유지원,2001,MAJORS,South Korea,F
68,Kim Hyungseo,김형서,1998,,South Korea,F
69,Nam Seungmin,남승민,2001,MCND,South Korea,M
70,Kwon Soobin,김수빈,1993,Hot Blood Youth,South Korea,M
71,No Minjae,노민재,2004,BAE173,South Korea,M
72,Kim Sangyeon,김상연,1995,MONT,South Korea,M
73,Lee Changhyun,이창현,1996,UP10TION,South Korea,M
74,Jung Gahee,정가희,1994,Pungdeng-E,South Korea,F
75,Matthew Kim,매튜김,1992,KARD,South Korea,M
76,Kwon Boa,권보아,1986,,South Korea,F
77,Kim Boah,김보아,1987,KEEMBO,South Korea,F
78,Kim Jiwon,김지원,1995,iKON,South Korea,M
79,Park Boeun,박보은,2008,CLASS:y,South Korea,F
80,Kim Bohyung,김보형,1991,KEEMBO,South Korea,F
81,Kim Bokeun,김복은,1994,SIGNAL,South Korea,M
82,Park Bom,박봄,1984,2NE1,South Korea,F
83,Yoon Bomi,윤보미,1993,Apink,South Korea,F
84,Choi Bomin,최보민,2000,Golden Child,South Korea,M
85,Kim Bomin,김보민,2001,RedSquare,South Korea,F
86,Kim Jiyeon,김지연,1995,Cosmic Girls,South Korea,F
87,Choi Euijeong,최의정,1999,Dreamnote,South Korea,F
88,Yoon Bora,윤보라,1989,SISTAR,South Korea,F
89,Kim Bora,김보라,1999,Cherry Bullet,South Korea,F
90,Jeon Boram,전보람,1986,,South Korea,F
91,Jin Junwoo,진준우,1995,VARSITY,South Korea,M
92,Lee Byounggon,이병곤,1998,CIX,South Korea,M
93,Choi Byungchan,최병찬,1997,VICTON,South Korea,M
94,Bang Minsoo,방민수,1992,Teen Top,South Korea,M
95,Cao Lu,차오루,1987,Fiestar,China,F
96,Chu Xiaoxiang,저효상,1991,CROSS GENE,China,M
97,Son Sangjoon,손성준,1999,MCND,South Korea,M
98,Cha Hoon,차훈,1994,N.Flying,South Korea,M
99,Kim Chaeyoung,김채영,1997,RedSquare,South Korea,F
100,Choi Yoobin,최유빈,1999,NATURE,South Korea,F
101,Kim Chaehyun,김채현,1999,Bonus Baby,South Korea,F
102,Kim Chaehyun,김채현,2002,Kep1er,South Korea,F
103,Lee Chaeyoung,이채영,2002,Purple Kiss,South Korea,F
104,Lee Chaejeong,이채정,1999,ALICE,South Korea,F
105,Chae Jinseok,채진석,1995,MYNAME,South Korea,M
106,Yoon Chaekyung,윤채경,1996,APRIL,South Korea,F
107,Lee Chaelin,이채린,1999,FANATICS,South Korea,F
108,Park Chaerin,박채린,2002,Cherry Bullet,South Korea,F
109,Park Chaerin,박채린,2003,ICHILLIN',South Korea,F
110,Lee Chaeryeong,이채령,2001,ITZY,South Korea,F
111,Maeng Chaesol,맹채솔,1998,Cignature,South Korea,F
112,Kim Chaewon,김채원,1997,APRIL,South Korea,F
113,Kim Chaewon,김채원,2000,LE SSERAFIM,South Korea,F
114,Lee Chaewon,이채원,2000,Maka Maka,South Korea,F
115,Yoon Chaewon,윤채원,2003,CLASS:y,South Korea,F
116,Song Chaeyeon,송채연,2003,CRAXY,South Korea,F
117,Jung Chaeyeon,정채연,1997,DIA,South Korea,F
118,Kim Chaeyeon,김채연,2004,tripleS,South Korea,F
119,Lee Chaeyeon,이채연,2000,IZ*ONE,South Korea,F
120,Son Chaeyoung,손채영,1999,Twice,South Korea,F
121,Lee Chaeyoung,이채영,2000,fromis_9,South Korea,F
122,Park Sooyoung,박수영,1996,MELODYDAY,South Korea,F
123,Jung Chanwoo,정찬우,1998,iKON,South Korea,M
124,Kang Yoochan,강유찬,1997,A.C.E,South Korea,M
125,Jo Chanhyuk,조찬혁,1999,TOO,South Korea,M
126,Seo Changbin,서창빈,1999,Stray Kids,South Korea,M
127,Woo Changbum,우창범,1993,,South Korea,M
128,Song Changgyu,송창규,1993,UNVS,South Korea,M
129,Choi Jonghyun,최종현,1995,Teen Top,South Korea,M
130,Lee Changsub,이창섭,1991,BtoB,South Korea,M
131,Lee Changsun,이창선,1996,24K,South Korea,M
132,Joo Changuk,주창욱,2001,DRIPPIN,South Korea,M
133,Kang Chanhee,강찬희,2000,SF9,South Korea,M
134,Kim Chanmi,김찬미,1996,AoA,South Korea,F
135,Hwang Chansung,황찬성,1990,2:00 PM,South Korea,M
136,Maria Chantal Videla,마리아 샹탈 비델라,2002,Lapillus,Philippines,F
137,Park Chanyeol,박찬열,1992,EXO,South Korea,M
138,Kim Chanyong,김찬용,1993,100%,South Korea,M
139,Kim Chanyoung,김찬영,2000,D-CRUNCH,South Korea,M
140,Kim Jongdae,김종대,1992,EXO,South Korea,M
141,Cheng Xiao,청샤오,1998,Cosmic Girls,China,F
142,Zhong Chenle,중천러,2001,NCT,China,M
143,Jang Cheongeum,장청음,1996,Ho1iday,South Korea,F
