   Value:      BST:      AVL:    Splay: 
         1         5         4         2
         2         4         5         3
         3         3         3         2
         4         5         5         1
         5         4         4         5
         6         2         5         4
         7         1         2         3
         8         5         5         1
         9         7         4         3
        10         9         5         1
        11         8         3         3
        12         6         6         1
        13         8         5         1
        14        10         6         1
        15         9         4         2
        16         7         5         2
        17         4         6         3
        18         5         1         1
        19        10         7         1
        20         9         6         5
        21        10         5         2
        22         8         6         4
        23         7         4         3
        24        10         6         1
        25         9         5         3
        26        10         6         1
        27         8         3         3
        28         9         5         2
        29        11         4         1
        30        13         6         1
        31        12         5         4
        32        10         6         4
        33         6         2         2
        34        12         6         3
        35        11         5         2
        36        12         6         1
        37        10         4         3
        38        12         7         1
        39        11         6         3
        40         9         7         3
        41        11         5         1
        42        10         6         2
        43         8         3         4
        44         7         6         3
        45         8         5         1
        46         9         4         2
        47        12         6         1
        48        11         5         2
        49        12         7         1
        50        10         6         3
        51        11         7         1
        52         3         0         2
        53         8         6         1
        54         7         5         2
        55         8         4         1
        56         6         6         2
        57         5         5         4
        58         4         6         4
        59         6         3         2
        60         7         4         2
        61         9         5         2
        62         8         2         3
        63         5         4         2
        64         6         5         1
        65         2         3         5
        66         4         5         3
        67         5         4         1
        68         6         5         2
        69         3         1         2
        70         6         6         1
        71        10         5         1
        72         9         6         6
        73        10         4         3
        74        11         6         2
        75         8         5         2
        76         7         6         4
        77         5         3         3
        78         8         6         1
        79         7         5         4
        80         6         4         3
        81         7         6         1
        82         4         5         3
        83         0         2         2
        84         3         6         1
        85         6         7         1
        86         5         5         4
        87         4         6         3
        88         5         7         1
        89         2         4         3
        90         5         6         1
        91         4         5         6
        92         3         3         4
        93         4         6         2
        94         5         5         3
        95         6         6         1
        96         1         4         2
        97         2         6         4
        98         4         5         2
        99         3         6         2
       100         4         7         1
