   Value:      BST:      AVL:    Splay: 
         0         0        10         0
         1         1         9         1
         2         2        10         1
         3         3         8         1
         4         4        10         1
         5         5         9         1
         6         6        10         1
         7         7         7         1
         8         8        10         1
         9         9         9         1
        10        10        10         1
        11        11         8         1
        12        12        10         1
        13        13         9         1
        14        14        10         1
        15        15         6         1
        16        16        10         1
        17        17         9         1
        18        18        10         1
        19        19         8         1
        20        20        10         1
        21        21         9         1
        22        22        10         1
        23        23         7         1
        24        24        10         1
        25        25         9         1
        26        26        10         1
        27        27         8         1
        28        28        10         1
        29        29         9         1
        30        30        10         1
        31        31         5         1
        32        32        10         1
        33        33         9         1
        34        34        10         1
        35        35         8         1
        36        36        10         1
        37        37         9         1
        38        38        10         1
        39        39         7         1
        40        40        10         1
        41        41         9         1
        42        42        10         1
        43        43         8         1
        44        44        10         1
        45        45         9         1
        46        46        10         1
        47        47         6         1
        48        48        10         1
        49        49         9         1
        50        50        10         1
        51        51         8         1
        52        52        10         1
        53        53         9         1
        54        54        10         1
        55        55         7         1
        56        56        10         1
        57        57         9         1
        58        58        10         1
        59        59         8         1
        60        60        10         1
        61        61         9         1
        62        62        10         1
        63        63         4         1
        64        64        10         1
        65        65         9         1
        66        66        10         1
        67        67         8         1
        68        68        10         1
        69        69         9         1
        70        70        10         1
        71        71         7         1
        72        72        10         1
        73        73         9         1
        74        74        10         1
        75        75         8         1
        76        76        10         1
        77        77         9         1
        78        78        10         1
        79        79         6         1
        80        80        10         1
        81        81         9         1
        82        82        10         1
        83        83         8         1
        84        84        10         1
        85        85         9         1
        86        86        10         1
        87        87         7         1
        88        88        10         1
        89        89         9         1
        90        90        10         1
        91        91         8         1
        92        92        10         1
        93        93         9         1
        94        94        10         1
        95        95         5         1
        96        96        10         1
        97        97         9         1
        98        98        10         1
        99        99         8         1
       100       100        10         1
       101       101         9         1
       102       102        10         1
       103       103         7         1
       104       104        10         1
       105       105         9         1
       106       106        10         1
       107       107         8         1
       108       108        10         1
       109       109         9         1
       110       110        10         1
       111       111         6         1
       112       112        10         1
       113       113         9         1
       114       114        10         1
       115       115         8         1
       116       116        10         1
       117       117         9         1
       118       118        10         1
       119       119         7         1
       120       120        10         1
       121       121         9         1
       122       122        10         1
       123       123         8         1
       124       124        10         1
       125       125         9         1
       126       126        10         1
       127       127         3         1
       128       128        10         1
       129       129         9         1
       130       130        10         1
       131       131         8         1
       132       132        10         1
       133       133         9         1
       134       134        10         1
       135       135         7         1
       136       136        10         1
       137       137         9         1
       138       138        10         1
       139       139         8         1
       140       140        10         1
       141       141         9         1
       142       142        10         1
       143       143         6         1
       144       144        10         1
       145       145         9         1
       146       146        10         1
       147       147         8         1
       148       148        10         1
       149       149         9         1
       150       150        10         1
       151       151         7         1
       152       152        10         1
       153       153         9         1
       154       154        10         1
       155       155         8         1
       156       156        10         1
       157       157         9         1
       158       158        10         1
       159       159         5         1
       160       160        10         1
       161       161         9         1
       162       162        10         1
       163       163         8         1
       164       164        10         1
       165       165         9         1
       166       166        10         1
       167       167         7         1
       168       168        10         1
       169       169         9         1
       170       170        10         1
       171       171         8         1
       172       172        10         1
       173       173         9         1
       174       174        10         1
       175       175         6         1
       176       176        10         1
       177       177         9         1
       178       178        10         1
       179       179         8         1
       180       180        10         1
       181       181         9         1
       182       182        10         1
       183       183         7         1
       184       184        10         1
       185       185         9         1
       186       186        10         1
       187       187         8         1
       188       188        10         1
       189       189         9         1
       190       190        10         1
       191       191         4         1
       192       192        10         1
       193       193         9         1
       194       194        10         1
       195       195         8         1
       196       196        10         1
       197       197         9         1
       198       198        10         1
       199       199         7         1
       200       200        10         1
       201       201         9         1
       202       202        10         1
       203       203         8         1
       204       204        10         1
       205       205         9         1
       206       206        10         1
       207       207         6         1
       208       208        10         1
       209       209         9         1
       210       210        10         1
       211       211         8         1
       212       212        10         1
       213       213         9         1
       214       214        10         1
       215       215         7         1
       216       216        10         1
       217       217         9         1
       218       218        10         1
       219       219         8         1
       220       220        10         1
       221       221         9         1
       222       222        10         1
       223       223         5         1
       224       224        10         1
       225       225         9         1
       226       226        10         1
       227       227         8         1
       228       228        10         1
       229       229         9         1
       230       230        10         1
       231       231         7         1
       232       232        10         1
       233       233         9         1
       234       234        10         1
       235       235         8         1
       236       236        10         1
       237       237         9         1
       238       238        10         1
       239       239         6         1
       240       240        10         1
       241       241         9         1
       242       242        10         1
       243       243         8         1
       244       244        10         1
       245       245         9         1
       246       246        10         1
       247       247         7         1
       248       248        10         1
       249       249         9         1
       250       250        10         1
       251       251         8         1
       252       252        10         1
       253       253         9         1
       254       254        10         1
       255       255         2         1
       256       256        10         1
       257       257         9         1
       258       258        10         1
       259       259         8         1
       260       260        10         1
       261       261         9         1
       262       262        10         1
       263       263         7         1
       264       264        10         1
       265       265         9         1
       266       266        10         1
       267       267         8         1
       268       268        10         1
       269       269         9         1
       270       270        10         1
       271       271         6         1
       272       272        10         1
       273       273         9         1
       274       274        10         1
       275       275         8         1
       276       276        10         1
       277       277         9         1
       278       278        10         1
       279       279         7         1
       280       280        10         1
       281       281         9         1
       282       282        10         1
       283       283         8         1
       284       284        10         1
       285       285         9         1
       286       286        10         1
       287       287         5         1
       288       288        10         1
       289       289         9         1
       290       290        10         1
       291       291         8         1
       292       292        10         1
       293       293         9         1
       294       294        10         1
       295       295         7         1
       296       296        10         1
       297       297         9         1
       298       298        10         1
       299       299         8         1
       300       300        10         1
       301       301         9         1
       302       302        10         1
       303       303         6         1
       304       304        10         1
       305       305         9         1
       306       306        10         1
       307       307         8         1
       308       308        10         1
       309       309         9         1
       310       310        10         1
       311       311         7         1
       312       312        10         1
       313       313         9         1
       314       314        10         1
       315       315         8         1
       316       316        10         1
       317       317         9         1
       318       318        10         1
       319       319         4         1
       320       320        10         1
       321       321         9         1
       322       322        10         1
       323       323         8         1
       324       324        10         1
       325       325         9         1
       326       326        10         1
       327       327         7         1
       328       328        10         1
       329       329         9         1
       330       330        10         1
       331       331         8         1
       332       332        10         1
       333       333         9         1
       334       334        10         1
       335       335         6         1
       336       336        10         1
       337       337         9         1
       338       338        10         1
       339       339         8         1
       340       340        10         1
       341       341         9         1
       342       342        10         1
       343       343         7         1
       344       344        10         1
       345       345         9         1
       346       346        10         1
       347       347         8         1
       348       348        10         1
       349       349         9         1
       350       350        10         1
       351       351         5         1
       352       352        10         1
       353       353         9         1
       354       354        10         1
       355       355         8         1
       356       356        10         1
       357       357         9         1
       358       358        10         1
       359       359         7         1
       360       360        10         1
       361       361         9         1
       362       362        10         1
       363       363         8         1
       364       364        10         1
       365       365         9         1
       366       366        10         1
       367       367         6         1
       368       368        10         1
       369       369         9         1
       370       370        10         1
       371       371         8         1
       372       372        10         1
       373       373         9         1
       374       374        10         1
       375       375         7         1
       376       376        10         1
       377       377         9         1
       378       378        10         1
       379       379         8         1
       380       380        10         1
       381       381         9         1
       382       382        10         1
       383       383         3         1
       384       384        10         1
       385       385         9         1
       386       386        10         1
       387       387         8         1
       388       388        10         1
       389       389         9         1
       390       390        10         1
       391       391         7         1
       392       392        10         1
       393       393         9         1
       394       394        10         1
       395       395         8         1
       396       396        10         1
       397       397         9         1
       398       398        10         1
       399       399         6         1
       400       400        10         1
       401       401         9         1
       402       402        10         1
       403       403         8         1
       404       404        10         1
       405       405         9         1
       406       406        10         1
       407       407         7         1
       408       408        10         1
       409       409         9         1
       410       410        10         1
       411       411         8         1
       412       412        10         1
       413       413         9         1
       414       414        10         1
       415       415         5         1
       416       416        10         1
       417       417         9         1
       418       418        10         1
       419       419         8         1
       420       420        10         1
       421       421         9         1
       422       422        10         1
       423       423         7         1
       424       424        10         1
       425       425         9         1
       426       426        10         1
       427       427         8         1
       428       428        10         1
       429       429         9         1
       430       430        10         1
       431       431         6         1
       432       432        10         1
       433       433         9         1
       434       434        10         1
       435       435         8         1
       436       436        10         1
       437       437         9         1
       438       438        10         1
       439       439         7         1
       440       440        10         1
       441       441         9         1
       442       442        10         1
       443       443         8         1
       444       444        10         1
       445       445         9         1
       446       446        10         1
       447       447         4         1
       448       448        10         1
       449       449         9         1
       450       450        10         1
       451       451         8         1
       452       452        10         1
       453       453         9         1
